state,city,year,education_services_exp,public_welfare_exp,hospital_exp,health_exp,police_protection_exp,fire_protection_exp,corrections_exp,inspection_and_regulation,parks_and_recreation_exp,housing_&_community_development_exp,financial_administration_exp,judicial_and_legal_exp,general_public_buildings_exp,other_governmental_admin_exp
Median for Core FiSCs,,2013,"1,661",49,0,92,360,194,85,17,139,203,56,72,30,68
Median for Core FiSCs,,2014,"1,628",52,0,93,360,199,87,17,139,197,56,73,29,65
Median for Core FiSCs,,2015,"1,702",51,0,92,368,195,84,16,149,190,57,71,30,65
Median for Core FiSCs,,2016,"1,739",50,0,96,378,197,85,17,147,171,56,78,24,71
Median for Core FiSCs,,2017,"1,745",47,0,100,374,199,89,16,151,173,58,79,26,74
NC,,2010,"1,947",193,"2,057",205,324,155,137,0,268,186,25,16,31,101
NC,,2011,"1,634",168,"2,074",181,319,146,125,0,69,207,24,12,16,88
NC,,2012,"1,501",155,"2,455",118,395,154,117,0,89,298,42,18,23,104
NC,,2013,"1,588",159,"2,562",209,409,160,118,0,164,320,42,23,13,115
NC,,2014,"1,605",146,"2,560",102,435,153,109,0,178,278,52,16,28,124
NC,,2015,"1,675",165,"2,675",149,433,158,123,0,166,268,62,15,52,118
NC,,2016,"1,624",158,"2,813",155,417,155,108,0,221,218,62,16,40,77
NC,,2017,"1,653",157,"2,714",152,431,159,111,0,216,232,65,15,68,77
NC,,2010,"1,674",245,0,242,318,149,57,16,179,283,72,15,112,117
NC,,2011,"1,724",228,0,238,309,134,56,14,140,128,73,15,262,102
NC,,2012,"1,633",215,0,237,380,135,55,14,99,174,59,15,211,124
NC,,2013,"1,536",213,0,161,412,135,57,14,105,306,82,15,146,100
NC,,2014,"1,449",207,0,141,361,137,55,15,87,258,55,14,82,119
NC,,2015,"1,471",215,0,151,368,138,54,14,73,239,55,15,100,132
NC,,2016,"1,420",213,0,159,354,128,56,18,72,249,54,16,82,137
NC,,2017,"1,377",201,0,156,427,131,55,19,79,269,59,16,83,124
NC,,2010,"1,920",179,0,212,382,209,107,21,205,188,34,10,20,63
NC,,2011,"1,877",187,0,202,363,209,170,20,277,190,34,10,21,61
NC,,2012,"1,842",168,0,185,375,169,101,18,292,241,43,11,30,104
NC,,2013,"1,785",163,0,144,369,172,78,17,242,249,44,11,50,69
NC,,2014,"1,780",159,0,98,358,184,68,17,258,223,54,9,48,53
NC,,2015,"1,677",162,0,98,354,173,71,18,210,220,51,9,53,54
NC,,2016,"1,593",167,0,98,355,174,69,19,167,216,49,11,54,56
NC,,2017,"1,705",174,0,100,351,178,65,19,220,200,46,10,61,49
NC,,2010,"1,731",122,0,183,286,172,76,29,280,161,47,44,106,57
NC,,2011,"1,656",116,0,159,270,164,107,23,266,154,46,87,74,57
NC,,2012,"1,616",116,0,148,320,138,81,19,332,205,36,61,47,62
NC,,2013,"1,603",115,0,118,302,133,42,17,252,208,33,42,39,62
NC,,2014,"1,571",114,0,81,296,132,40,17,245,207,28,18,135,63
NC,,2015,"1,708",122,0,83,358,138,42,25,237,160,33,13,129,64
NC,,2016,"1,850",118,0,89,359,133,45,32,332,135,33,11,39,91
NC,,2017,"1,854",120,0,83,281,143,46,32,213,148,23,10,43,77
ND,,2010,"1,338",76,0,49,257,91,18,17,343,136,59,33,64,72
ND,,2011,"1,196",79,0,61,235,122,11,18,298,121,54,32,58,65
ND,,2012,"1,171",67,0,58,274,104,11,20,315,115,54,32,30,71
ND,,2013,"1,319",68,0,59,270,93,12,18,364,99,55,37,31,79
ND,,2014,"1,552",71,0,43,253,90,11,19,349,91,52,29,29,80
ND,,2015,"1,651",76,0,41,259,110,28,16,484,89,55,32,28,88
ND,,2016,"1,424",88,0,38,226,105,251,15,361,91,60,33,28,87
ND,,2017,"1,350",74,0,46,290,172,364,13,389,84,63,40,41,83
ND,,2010,"1,623",168,0,6,332,0,56,0,219,138,22,17,24,11
ND,,2011,"1,577",171,0,17,313,0,56,0,239,138,74,17,25,35
ND,,2012,"1,475",81,0,98,181,87,63,16,344,124,75,17,60,93
ND,,2013,"1,440",82,0,93,174,87,64,15,350,123,71,17,60,86
ND,,2014,"1,482",84,0,93,181,95,64,16,364,113,67,18,20,75
ND,,2015,"1,626",87,0,91,189,99,68,18,416,127,70,18,23,79
ND,,2016,"1,586",86,0,94,220,99,70,19,381,115,77,17,19,91
ND,,2017,"1,548",73,0,95,227,103,73,21,420,110,57,33,23,42
NE,,2010,"1,810",79,0,131,186,91,111,22,88,119,27,119,19,77
NE,,2011,"1,726",92,0,125,174,88,84,21,61,151,38,81,6,60
NE,,2012,"1,709",39,0,85,183,93,94,23,51,145,49,89,27,66
NE,,2013,"1,630",47,0,95,183,92,104,48,60,137,50,61,10,31
NE,,2014,"1,593",47,0,129,177,89,106,21,83,134,49,62,11,30
NE,,2015,"1,737",51,0,115,181,91,107,22,67,119,50,62,10,31
NE,,2016,"1,972",50,0,124,184,92,109,21,65,116,49,62,10,31
NE,,2017,"1,843",55,0,123,187,93,108,46,61,121,49,63,13,31
NE,,2010,"1,796",16,101,57,274,176,84,10,184,177,50,61,34,47
NE,,2011,"1,603",25,90,48,245,149,79,0,217,142,27,56,46,34
NE,,2012,"1,691",29,83,31,297,165,81,0,184,129,38,54,36,34
NE,,2013,"1,657",22,79,27,300,155,78,0,69,116,52,53,21,35
NE,,2014,"1,649",21,79,27,296,161,79,0,77,115,52,53,28,34
NE,,2015,"1,716",20,78,27,310,166,78,0,68,109,52,52,25,37
NE,,2016,"1,854",21,86,29,320,165,85,0,74,114,56,58,21,42
NE,,2017,"2,016",21,90,31,313,170,89,0,66,113,45,60,40,41
NH,,2010,"1,668",80,0,45,262,195,42,0,55,321,41,19,66,34
NH,,2011,"1,663",79,0,43,235,203,41,0,52,308,40,18,66,34
NH,,2012,"1,685",81,0,54,309,274,39,27,57,321,40,17,75,26
NH,,2013,"1,605",74,0,51,306,264,36,26,48,336,79,12,154,33
NH,,2014,"1,584",76,0,25,313,278,36,0,87,280,68,11,78,47
NH,,2015,"1,595",75,0,26,225,183,40,0,102,258,32,22,63,43
NH,,2016,"1,605",83,0,25,258,180,40,0,104,305,32,22,62,43
NH,,2017,"1,567",89,0,24,219,176,42,0,59,277,32,22,62,45
NH,,2010,"1,782",85,0,28,260,183,42,8,36,233,58,16,10,115
NH,,2011,"1,806",83,0,27,268,188,41,8,37,220,46,15,9,121
NH,,2012,"1,828",80,0,10,228,171,39,8,33,179,47,13,6,277
NH,,2013,"1,768",75,0,18,231,182,36,10,37,192,28,16,23,125
NH,,2014,"1,838",76,0,22,338,276,36,5,55,250,37,17,12,77
NH,,2015,"1,891",80,0,27,366,315,40,0,51,208,70,18,6,24
NH,,2016,"1,928",97,0,15,364,296,40,0,46,214,67,18,8,28
NH,,2017,"1,823",92,0,12,338,286,42,0,71,186,99,16,8,39
NM,,2010,"1,736",79,0,76,444,172,131,2,237,98,60,14,67,63
NM,,2011,"1,521",66,0,74,411,164,126,0,225,87,58,14,40,62
NM,,2012,"1,421",69,0,82,388,173,124,0,246,93,54,13,56,61
NM,,2013,"1,347",49,0,63,377,181,122,0,225,109,51,12,39,102
NM,,2014,"1,323",65,0,58,361,174,118,0,204,98,59,12,52,96
NM,,2015,"1,445",78,0,54,379,180,108,0,204,90,59,13,55,95
NM,,2016,"1,417",76,0,59,379,179,106,0,200,91,77,14,47,88
NM,,2017,"1,387",70,0,65,376,177,96,0,201,32,62,14,71,92
NM,,2010,"1,373",66,0,63,376,139,129,0,116,101,62,45,61,113
NM,,2011,"1,501",47,0,30,296,122,131,8,63,47,31,9,120,65
NM,,2012,"1,303",67,0,48,377,136,122,0,109,143,90,11,68,130
NM,,2013,"1,254",64,0,46,353,135,117,0,141,67,100,12,109,78
NM,,2014,"1,191",66,0,47,371,134,119,0,95,22,72,40,80,131
NM,,2015,"1,279",67,0,48,375,135,121,0,96,21,73,10,80,96
NM,,2016,"1,202",66,0,47,356,154,118,0,63,21,62,10,132,100
NM,,2017,"1,231",76,0,53,361,17,136,0,67,26,65,11,30,104
NV,,2010,"1,730",165,387,54,386,315,202,47,590,98,78,168,114,110
NV,,2011,"1,664",145,364,57,358,293,222,39,478,88,57,165,191,111
NV,,2012,"1,537",137,367,53,340,305,220,38,283,128,49,160,182,106
NV,,2013,"1,495",132,316,51,327,296,206,36,240,138,47,157,120,88
NV,,2014,"1,463",127,306,46,331,307,217,36,245,120,37,154,85,95
NV,,2015,"1,487",130,288,50,330,329,210,41,331,132,31,155,95,94
NV,,2016,"1,537",120,280,53,337,320,214,38,255,115,35,154,86,85
NV,,2017,"1,666",120,313,46,351,294,220,40,233,108,33,149,85,89
NV,,2010,"1,593",176,0,55,432,324,166,23,238,337,42,200,40,54
NV,,2011,"1,490",172,0,50,438,289,147,3,213,326,51,194,18,75
NV,,2012,"1,464",175,0,44,344,275,149,18,194,353,49,191,16,101
NV,,2013,"1,433",158,0,44,373,247,151,20,183,279,46,187,16,104
NV,,2014,"1,361",192,0,55,360,265,138,21,174,298,31,181,12,97
NV,,2015,"1,435",189,0,61,369,259,145,27,154,265,42,177,9,102
NV,,2016,"1,429",206,0,54,384,263,155,38,180,254,46,188,4,101
NV,,2017,"1,439",209,0,60,389,254,167,44,212,243,47,199,0,119
NY,,2010,"3,901",427,542,182,378,267,106,46,57,242,34,46,75,108
NY,,2011,"3,899",391,531,175,369,240,119,24,70,553,36,51,71,93
NY,,2012,"3,817",350,533,154,356,242,119,22,68,453,32,58,72,98
NY,,2013,"3,637",364,495,150,363,232,125,22,87,401,31,50,80,102
NY,,2014,"3,491",366,493,147,361,242,127,26,83,6,32,48,74,114
NY,,2015,"3,504",404,534,148,373,252,127,20,123,5,35,50,70,149
NY,,2016,"3,496",397,572,149,385,244,132,21,88,4,42,56,55,107
NY,,2017,"3,709",383,633,154,405,262,128,22,100,5,40,59,61,123
NY,,2010,"3,157",973,890,196,658,247,199,37,178,584,102,85,113,30
NY,,2011,"2,988",908,891,194,660,246,203,33,179,585,83,78,96,33
NY,,2012,"2,915",873,916,173,655,238,194,33,139,610,59,89,97,30
NY,,2013,"3,259",845,931,162,655,246,203,37,154,598,57,93,116,31
NY,,2014,"3,501",805,910,167,639,247,201,35,134,584,59,82,125,30
NY,,2015,"3,522",860,896,153,646,243,200,37,145,577,62,90,93,33
NY,,2016,"3,693",910,"1,056",155,659,253,216,41,139,614,64,90,89,35
NY,,2017,"3,785",971,"1,047",145,672,254,222,44,152,687,67,94,79,37
NY,,2010,"3,888",462,93,173,505,245,143,27,94,82,44,68,35,79
NY,,2011,"3,766",457,93,168,528,239,144,39,118,440,42,65,34,47
NY,,2012,"3,693",433,93,168,505,233,138,37,113,440,36,63,30,59
NY,,2013,"4,147",420,95,169,513,238,141,34,94,464,37,63,31,57
NY,,2014,"4,444",422,93,163,519,241,137,29,94,128,37,65,78,45
NY,,2015,"4,192",420,95,167,521,244,139,28,97,142,38,58,78,52
NY,,2016,"4,331",395,97,179,527,246,143,28,110,70,40,61,73,53
NY,,2017,"4,398",376,99,186,543,253,142,29,107,63,37,60,72,52
NY,,2010,"3,477",475,0,261,455,236,172,34,109,70,42,68,77,54
NY,,2011,"3,473",470,0,249,427,236,166,38,117,483,41,64,78,51
NY,,2012,"3,727",500,0,220,414,230,171,32,101,465,40,63,74,51
NY,,2013,"3,500",498,0,220,420,223,179,32,96,476,40,67,83,50
NY,,2014,"3,261",493,0,214,423,216,181,30,121,48,41,68,79,51
NY,,2015,"3,440",402,0,208,448,240,188,34,124,49,50,66,84,56
NY,,2016,"3,444",400,0,203,437,231,189,33,237,69,49,70,69,54
NY,,2017,"3,495",417,0,205,421,251,196,30,139,61,52,68,73,49
NY,,2010,"3,294",364,"1,046",342,523,335,181,17,147,55,42,133,105,102
NY,,2011,"3,144",337,"1,017",318,500,297,184,14,160,61,29,129,104,90
NY,,2012,"2,950",311,957,289,494,300,173,13,120,47,27,115,78,69
NY,,2013,"2,982",293,942,271,473,307,172,13,141,26,39,117,91,89
NY,,2014,"3,152",264,953,187,462,296,167,14,109,139,61,110,14,84
NY,,2015,"3,193",255,"1,121",184,511,300,162,14,103,140,79,115,38,73
NY,,2016,"3,211",255,"1,274",183,522,330,161,14,106,139,113,117,38,75
NY,,2017,"3,213",244,"1,455",177,530,340,150,15,109,137,70,104,45,75
OH,,2010,"2,469",276,0,432,425,236,79,6,69,197,123,145,7,130
OH,,2011,"2,346",324,0,260,419,214,70,5,55,326,125,155,130,25
OH,,2012,"2,195",191,0,311,239,138,112,6,85,239,101,119,35,33
OH,,2013,"2,136",187,0,292,218,137,144,6,77,215,102,105,25,125
OH,,2014,"2,056",182,0,296,313,185,143,5,74,235,135,123,48,41
OH,,2015,"2,105",187,0,240,350,254,146,5,61,319,117,128,45,112
OH,,2016,"2,215",196,0,236,330,245,143,5,84,263,119,126,30,145
OH,,2017,"2,189",202,0,234,341,255,145,5,92,267,109,126,30,177
OH,,2010,"2,310",491,0,432,566,306,44,0,309,354,81,125,174,248
OH,,2011,"2,234",322,0,492,508,248,43,0,356,375,112,173,95,152
OH,,2012,"2,287",257,0,462,528,271,43,0,219,322,90,160,69,160
OH,,2013,"1,964",262,0,415,526,266,43,0,173,318,77,142,67,122
OH,,2014,"1,817",224,0,435,545,354,39,25,316,347,118,152,80,54
OH,,2015,"1,936",257,0,329,596,333,41,23,298,233,33,149,125,51
OH,,2016,"1,874",315,0,295,672,342,43,24,292,232,50,173,124,55
OH,,2017,"1,983",295,0,314,618,355,38,25,307,229,34,155,122,46
OH,,2010,"2,587",421,633,465,535,266,116,1,244,434,62,320,2,107
OH,,2011,"2,368",329,668,433,518,250,114,1,196,435,59,309,1,137
OH,,2012,"2,204",258,609,437,511,244,107,1,175,452,53,287,1,70
OH,,2013,"2,206",244,613,384,514,231,109,0,179,393,58,276,0,49
OH,,2014,"2,367",225,669,325,512,230,109,0,173,330,66,273,0,62
OH,,2015,"2,420",233,704,328,512,230,107,0,182,340,67,290,0,61
OH,,2016,"2,374",241,755,358,526,233,110,35,187,527,71,279,0,54
OH,,2017,"2,423",220,888,327,720,226,99,37,202,431,73,340,0,75
OH,,2010,"1,926",372,0,407,377,235,62,15,194,639,82,144,116,74
OH,,2011,"1,858",472,0,186,363,233,60,11,185,642,70,148,82,55
OH,,2012,"1,867",347,0,194,383,253,60,22,240,659,58,147,49,68
OH,,2013,"1,797",325,0,103,386,237,59,22,243,649,70,138,36,50
OH,,2014,"1,755",395,0,118,421,296,54,20,267,648,80,167,44,41
OH,,2015,"1,805",414,0,321,417,255,53,10,240,622,65,169,42,74
OH,,2016,"1,873",491,0,314,433,276,53,9,256,628,52,150,36,66
OH,,2017,"1,870",538,0,336,418,299,53,10,247,599,64,164,40,92
OH,,2010,"2,274",372,0,131,475,294,1,2,142,262,62,252,28,67
OH,,2011,"2,171",492,0,123,421,275,76,0,108,313,60,215,31,179
OH,,2012,"1,850",429,0,144,420,261,47,0,116,298,21,223,29,186
OH,,2013,"1,581",450,0,148,409,258,47,0,117,274,25,226,29,177
OH,,2014,"1,860",287,0,126,439,260,69,2,116,247,58,195,33,153
OH,,2015,"1,906",330,0,66,431,257,67,0,146,197,48,199,36,150
OH,,2016,"1,948",280,0,21,445,265,64,0,146,155,29,135,32,160
OH,,2017,"2,119",311,0,23,467,275,71,0,151,189,30,144,34,168
OH,,2010,"2,017",325,0,373,356,234,100,10,159,170,40,200,32,270
OH,,2011,"1,996",230,0,395,371,229,117,7,155,232,43,189,23,21
OH,,2012,"1,723",227,0,445,392,145,76,19,175,175,68,180,19,69
OH,,2013,"1,500",276,0,325,400,146,75,19,171,196,75,185,19,71
OH,,2014,"1,734",187,0,322,334,231,98,11,178,161,55,173,22,31
OH,,2015,"1,854",242,0,278,347,266,95,12,196,237,70,55,22,62
OH,,2016,"1,947",202,0,272,486,275,82,13,206,162,29,163,4,62
OH,,2017,"1,994",225,0,301,508,286,91,14,220,164,31,179,4,67
OK,,2010,"1,548",2,0,3,340,274,61,0,277,136,82,49,3,35
OK,,2011,"1,463",2,0,3,331,255,58,2,257,236,33,42,3,36
OK,,2012,"1,469",2,0,17,298,241,19,11,262,147,33,39,2,36
OK,,2013,"1,518",2,0,15,309,242,58,18,215,152,56,40,4,42
OK,,2014,"1,621",2,0,14,354,263,59,29,231,135,73,39,4,111
OK,,2015,"1,521",2,0,12,312,242,19,28,282,134,52,43,4,39
OK,,2016,"1,419",2,0,11,310,230,15,30,322,172,56,45,4,39
OK,,2017,"1,305",0,0,14,341,202,23,30,361,174,68,56,3,46
OK,,2010,"1,576",79,0,233,241,168,76,2,146,176,46,42,68,52
OK,,2011,"1,658",46,0,231,247,163,78,2,139,168,49,40,34,58
OK,,2012,"1,514",43,0,223,259,191,71,2,108,148,49,42,34,45
OK,,2013,"1,505",44,0,227,261,192,73,3,107,146,50,42,19,45
OK,,2014,"1,571",59,0,266,287,178,74,2,168,167,49,40,6,41
OK,,2015,"1,638",48,0,254,287,185,79,3,135,150,59,38,7,44
OK,,2016,"1,604",52,0,267,288,182,77,3,124,162,48,37,7,51
OK,,2017,"1,579",48,0,274,284,178,74,3,116,156,55,39,5,52
OR,,2010,"1,182",84,0,195,352,204,130,49,227,152,43,63,333,89
OR,,2011,"1,126",92,0,198,362,200,141,43,219,141,41,58,250,107
OR,,2012,"1,088",92,0,195,385,212,128,45,228,130,40,58,294,116
OR,,2013,"1,083",52,0,163,395,211,109,46,229,133,36,62,229,99
OR,,2014,"1,105",60,0,171,361,210,109,45,238,136,34,59,249,101
OR,,2015,"1,336",55,0,177,384,214,111,46,228,125,33,62,263,99
OR,,2016,"1,338",43,0,199,384,225,117,49,224,134,33,61,239,102
OR,,2017,"1,309",41,0,208,379,224,121,53,239,143,36,60,220,109
OR,,2010,"1,501",263,0,277,357,168,192,26,258,346,157,44,66,110
OR,,2011,"1,445",256,0,295,350,172,184,22,280,352,148,43,70,96
OR,,2012,"1,376",251,0,289,354,173,182,24,226,379,167,43,60,97
OR,,2013,"1,398",235,0,269,347,165,180,25,228,395,159,42,60,95
OR,,2014,"1,530",229,0,288,364,161,180,33,246,341,143,52,61,95
OR,,2015,"1,620",242,0,323,366,188,190,34,254,377,143,57,64,94
OR,,2016,"1,725",234,0,391,359,183,196,38,255,340,153,85,65,110
OR,,2017,"1,739",221,0,349,367,180,202,34,277,446,166,102,81,111
OR,,2010,"1,724",10,0,185,279,196,114,29,64,261,80,48,36,54
OR,,2011,"1,852",10,0,172,277,162,112,27,63,275,97,48,25,61
OR,,2012,"1,735",9,0,352,280,173,113,24,63,239,95,47,13,70
OR,,2013,"1,554",9,0,342,277,158,112,24,56,223,104,47,36,45
OR,,2014,"1,567",6,7,329,283,161,113,24,44,229,101,47,44,46
OR,,2015,"1,630",6,7,247,278,160,113,24,44,223,100,47,12,44
OR,,2016,"1,739",4,8,226,293,169,117,26,47,235,105,49,13,46
OR,,2017,"1,674",5,7,224,310,173,123,26,48,246,110,49,21,48
PA,,2010,"1,658",392,0,971,429,144,281,17,299,465,68,204,86,34
PA,,2011,"1,633",276,0,900,370,128,234,17,55,476,34,179,72,27
PA,,2012,"1,605",395,0,941,423,138,191,18,58,467,36,217,75,29
PA,,2013,"2,054",292,0,896,440,140,233,17,57,389,38,210,73,29
PA,,2014,"1,781",290,0,977,444,137,242,17,76,500,51,211,106,37
PA,,2015,"1,771",244,0,939,411,172,243,17,63,534,59,212,126,60
PA,,2016,"1,855",242,0,"1,139",419,154,241,20,66,497,58,214,117,74
PA,,2017,"1,925",127,0,"1,069",427,162,236,21,65,471,61,215,122,73
PA,,2010,"1,858",326,1,553,312,186,77,11,109,784,41,89,20,119
PA,,2011,"1,841",276,1,487,327,183,78,10,225,908,46,90,18,83
PA,,2012,"1,710",265,1,485,314,180,77,10,119,771,39,86,71,73
PA,,2013,"1,762",535,1,360,319,184,78,9,88,683,40,76,18,95
PA,,2014,"1,774",527,1,335,293,196,87,10,79,641,79,82,21,208
PA,,2015,"1,885",544,1,346,317,189,84,10,95,490,76,90,16,275
PA,,2016,"1,937",520,1,356,299,197,81,11,100,480,71,91,24,262
PA,,2017,"1,934",590,1,367,358,226,84,16,72,472,71,96,29,250
RI,,2010,"2,541",0,0,0,526,414,0,20,55,377,48,49,291,78
RI,,2011,"2,435",0,0,0,502,428,0,18,57,396,42,42,290,62
RI,,2012,"2,311",0,0,0,492,377,0,17,52,382,56,49,217,59
RI,,2013,"2,391",0,0,0,472,397,0,16,75,435,39,36,109,72
RI,,2014,"2,386",0,0,0,472,402,0,17,75,398,38,33,98,78
RI,,2015,"2,486",0,0,0,516,447,0,16,74,345,40,48,109,63
RI,,2016,"2,420",0,0,0,528,430,0,15,65,436,44,59,63,68
RI,,2017,"2,460",0,0,0,528,404,0,14,60,358,40,102,73,67
RI,,2010,"2,269",25,0,5,258,266,0,11,29,102,33,17,15,29
RI,,2011,"2,259",18,0,2,244,281,0,11,42,78,37,9,15,28
RI,,2012,"2,283",16,0,2,252,279,0,10,26,77,35,12,15,29
RI,,2013,"2,246",10,0,2,254,281,0,25,27,86,28,5,16,21
RI,,2014,"2,225",9,0,2,254,271,0,10,27,76,29,6,30,22
RI,,2015,"2,227",9,0,2,230,273,0,9,27,70,47,2,14,24
RI,,2016,"2,334",9,0,2,302,317,0,9,29,75,56,6,15,22
RI,,2017,"2,285",9,0,2,282,281,0,10,31,77,32,6,16,26
SC,,2010,"1,632",13,28,8,560,183,205,23,309,441,131,85,44,51
SC,,2011,"1,356",10,27,8,532,196,84,19,256,328,125,91,69,42
SC,,2012,"1,242",11,24,14,559,195,2,13,303,307,122,72,50,70
SC,,2013,"1,526",8,26,9,554,204,89,17,235,263,110,62,53,78
SC,,2014,"1,611",10,24,8,468,209,87,17,229,262,127,84,50,65
SC,,2015,"1,662",13,0,44,449,255,87,17,339,255,104,87,40,94
SC,,2016,"1,556",11,27,45,572,215,88,17,304,272,133,84,43,77
SC,,2017,"1,447",11,25,46,586,220,86,18,286,226,135,86,47,74
SC,,2010,"1,457",14,0,15,345,217,57,4,185,363,75,67,22,81
SC,,2011,"1,250",8,0,15,353,242,54,4,188,348,82,73,20,79
SC,,2012,"1,226",5,0,39,372,232,53,27,233,377,51,64,34,71
SC,,2013,"1,286",6,0,51,375,206,54,25,228,377,68,80,45,118
SC,,2014,"1,305",17,0,47,385,240,55,5,188,379,75,68,42,133
SC,,2015,"1,395",16,0,48,389,245,56,4,286,418,77,68,47,129
SC,,2016,"1,412",12,0,75,422,385,52,5,258,408,51,82,163,76
SC,,2017,"1,378",5,0,51,450,420,54,6,227,427,56,81,135,107
SD,,2010,"1,171",12,0,81,329,134,147,3,294,190,36,50,51,22
SD,,2011,"1,359",18,0,72,290,206,143,0,255,173,39,55,79,19
SD,,2012,"1,481",18,0,71,298,172,137,0,249,176,48,56,152,45
SD,,2013,"1,246",16,0,75,300,142,139,3,229,183,47,90,97,26
SD,,2014,"1,103",16,0,78,303,139,142,2,211,129,61,57,139,50
SD,,2015,"1,049",15,0,79,296,148,137,2,215,120,65,61,136,60
SD,,2016,"1,130",22,0,77,301,154,151,5,226,119,45,71,128,51
SD,,2017,"1,119",17,0,76,336,155,156,6,242,116,51,76,53,48
SD,,2010,"1,753",21,0,70,255,141,75,0,235,113,51,49,24,67
SD,,2011,"1,669",19,0,70,235,153,73,0,174,108,45,49,29,60
SD,,2012,"1,663",21,0,72,232,150,78,0,226,131,45,48,30,51
SD,,2013,"1,732",21,0,68,235,148,70,0,321,127,41,48,37,56
SD,,2014,"1,746",17,0,79,240,149,67,0,561,107,68,50,33,62
SD,,2015,"1,751",22,0,71,241,170,72,0,429,108,44,51,33,79
SD,,2016,"1,940",21,0,72,232,170,73,0,208,100,48,54,39,83
SD,,2017,"1,745",21,0,64,223,137,80,0,247,114,46,55,27,57
TN,,2010,"1,291",144,"1,736",86,349,238,96,20,163,334,106,110,71,440
TN,,2011,"1,272",156,"1,738",75,375,263,72,21,163,306,103,99,38,381
TN,,2012,"1,251",93,"1,768",74,396,324,69,20,171,285,111,80,40,328
TN,,2013,"1,288",36,"1,776",75,396,335,100,20,162,307,113,82,35,341
TN,,2014,"1,298",32,"1,746",69,382,331,95,18,142,294,108,81,35,312
TN,,2015,"1,303",34,"1,966",111,406,215,83,27,150,402,101,95,34,133
TN,,2016,"1,288",39,"2,411",111,421,238,83,27,139,317,101,101,23,96
TN,,2017,"1,294",39,"2,559",107,459,236,84,19,151,313,100,100,24,100
TN,,2010,"1,231",7,0,68,415,195,81,18,128,384,108,74,5,70
TN,,2011,"1,191",6,0,66,400,201,78,18,130,388,101,72,6,68
TN,,2012,"1,235",6,0,61,402,201,71,17,136,392,105,67,3,63
TN,,2013,"1,284",6,0,60,407,208,11,17,132,374,106,66,7,62
TN,,2014,"1,323",6,0,61,456,210,28,17,139,316,99,73,12,60
TN,,2015,"1,282",0,0,76,458,211,38,17,141,307,101,75,4,61
TN,,2016,"1,241",0,0,78,341,126,28,13,188,266,97,66,11,132
TN,,2017,"1,262",0,0,80,387,127,0,10,211,264,123,70,9,100
TN,,2010,"2,503",71,399,77,578,316,68,16,87,209,88,141,43,73
TN,,2011,"2,500",62,379,63,578,307,72,16,129,248,69,121,41,80
TN,,2012,"2,451",59,369,56,535,281,69,15,62,387,66,117,34,80
TN,,2013,"2,327",42,400,53,553,271,71,15,67,251,75,127,42,107
TN,,2014,"1,624",38,411,55,560,280,65,18,75,236,64,129,41,89
TN,,2015,"1,383",35,438,54,541,282,66,12,82,219,63,134,37,67
TN,,2016,"1,342",37,474,55,557,273,62,12,78,171,72,123,37,71
TN,,2017,"1,376",39,468,54,576,290,60,14,79,164,83,114,34,90
TN,,2010,"1,483",58,254,107,330,191,95,14,143,229,48,109,2,57
TN,,2011,"1,476",56,252,115,340,192,108,14,143,317,52,96,2,47
TN,,2012,"1,451",53,242,144,335,185,106,13,140,258,38,90,2,47
TN,,2013,"1,412",69,210,94,396,210,102,14,248,195,38,95,8,79
TN,,2014,"1,519",78,184,139,353,186,99,14,268,171,32,127,30,124
TN,,2015,"1,598",68,153,87,342,182,100,14,346,204,33,129,7,125
TN,,2016,"1,563",69,148,86,313,196,122,13,225,179,38,150,1,120
TN,,2017,"1,682",71,145,92,322,189,111,16,194,173,39,181,1,108
TX,,2010,"1,789",5,479,90,281,123,65,0,"1,411",114,24,86,31,53
TX,,2011,"1,869",4,464,94,285,114,64,8,321,124,25,77,26,47
TX,,2012,"1,672",4,460,93,285,113,51,9,106,116,25,93,19,41
TX,,2013,"1,669",3,429,85,269,115,71,9,93,113,25,86,14,37
TX,,2014,"1,747",3,402,90,266,116,51,10,93,107,30,95,13,38
TX,,2015,"1,766",3,425,101,273,117,56,15,83,103,26,97,13,42
TX,,2016,"1,982",3,431,105,274,119,60,15,84,97,27,93,12,42
TX,,2017,"2,023",2,433,109,283,123,58,16,86,98,27,79,12,38
TX,,2010,"1,651",34,1,232,398,173,188,0,177,186,68,137,12,54
TX,,2011,"1,505",34,0,203,415,166,164,0,167,192,75,198,10,53
TX,,2012,"1,354",35,0,343,406,165,152,0,172,175,76,152,11,59
TX,,2013,"1,345",31,0,344,399,164,147,0,205,158,84,134,14,65
TX,,2014,"1,336",30,0,331,394,164,137,0,197,164,80,128,13,64
TX,,2015,"1,364",35,0,457,405,163,153,0,217,173,87,127,12,76
TX,,2016,"1,337",31,0,525,421,173,150,2,200,171,85,132,17,77
TX,,2017,"1,394",31,0,589,433,179,145,2,202,176,84,151,13,79
TX,,2010,"1,893",5,113,94,281,153,65,7,147,129,31,96,42,53
TX,,2011,"1,777",5,112,85,294,156,64,5,211,121,31,95,59,45
TX,,2012,"1,643",5,111,84,286,162,61,6,145,136,34,90,34,33
TX,,2013,"1,661",5,110,75,267,156,59,5,120,119,35,88,41,30
